u,g,r,i,z,ra,dec,flags_r
23.60756,23.64298,22.2611,22.6441,22.07133,180.733126487276,0.155346390113189,4503874907930624
22.41885,23.07087,22.02467,21.92435,22.1295,180.73088039806,0.199161967510868,4503874782101760
24.51065,24.05172,22.47585,22.15754,23.44972,180.600097298526,0.0994834252637534,4503874907930624
29.11029,20.77296,19.28413,19.46371,19.07285,180.599987211445,0.0528166228850427,4503874916352256
21.65974,22.43579,21.63731,22.95057,22.0175,180.599977211471,0.0420456759177546,4503874933129472
24.03653,22.98982,21.877,21.34152,21.47395,180.733004375749,0.169998455309412,4503874773843992
22.69513,20.46311,19.68392,19.31762,19.07946,180.732891330091,0.0367420978585793,4503874773745664
22.24711,22.15529,20.80773,20.33939,19.65501,180.731572460326,0.165265447345001,4503874773712896
23.3773,21.8075,20.46062,19.98145,19.56944,180.731586988449,0.102521993656631,4503874782134272
22.77319,22.75009,21.46824,20.71673,20.08015,180.730691143397,0.141490512311122,4503874773712896
22.16182,20.75881,19.31902,18.78497,18.42534,180.730882872561,0.0977351749718376,4503874782134272
22.13407,20.72748,19.5594,19.10982,18.66941,180.729844363568,0.100500150986028,4503874773745664
19.61218,17.54999,17.02772,31.2639,28.09876,180.600494055358,0.0454273203674013,13511074229781833
23.51683,22.17133,21.26874,21.50724,20.58685,180.598972964247,0.146020724602536,4503874782134272
21.27818,19.86287,19.47124,19.17062,18.98742,180.732534933312,0.0586067735508674,6755674587430936
23.08237,23.44118,22.03092,22.03873,21.02469,180.59808581533,0.116368100850859,4503874782101760
24.95237,22.66295,21.17533,20.58085,20.23298,180.460644340476,0.137565079258453,4503874773712896
21.04355,22.08578,21.0915,20.64375,20.12978,180.460258865917,0.0180258976178853,51791670861137168
23.90729,22.85314,21.88022,21.51653,21.80005,180.459403442179,0.144520089368241,49539871047450624
24.0891,23.45018,22.29552,22.2741,20.99733,180.459137509126,0.171037761013089,4503874907930624
24.73398,22.30213,21.65582,22.74866,21.70015,180.598173155693,0.0426179930297813,6755674763591696
23.0081,22.86046,21.7341,21.10776,20.49984,180.460302697056,0.173940638772842,4503874773712896
23.04607,22.59416,21.72744,21.46859,21.08496,180.459659890114,0.0401206602436468,4503874773712896
23.23258,22.55876,21.93266,21.24697,20.62212,180.458761332181,0.149127209571618,2312598683801124888
22.82779,22.08184,20.68329,21.09029,20.07092,180.458695270512,0.0743128457585273,6755674629374224
24.05564,23.44701,22.30147,21.8119,21.29708,180.318001905261,0.0815626826580416,4503874773712896
